Item,ItemId,Name,Plus,Date
"Head of Nefarian",19003,Sno,0,"2025-12-05 17:46:56"
"Helm of Endless Rage",19372,Teliaa,0,"2025-12-05 19:38:36"
"Helm of Endless Rage",19372,Whorm,0,"2025-12-05 19:38:51"
"Helm of Endless Rage",19372,Whorm,0,"2025-12-05 19:38:51"
"Lifegiving Gem",19341,Abdalla,0,"2025-12-05 17:51:36"
"Lifegiving Gem",19341,Sno,0,"2025-12-05 17:46:56"
"Lok'amir il Romathis",19360,Giggles,0,"2025-12-05 15:26:15"
"Maladath, Runed Blade of the Black Flight",19351,Corvere,0,"2025-12-05 19:12:34"
"Maladath, Runed Blade of the Black Flight",19351,Corvere,0,"2025-12-05 19:12:34"
"Maladath, Runed Blade of the Black Flight",19351,Insomnyia,0,"2025-12-05 19:05:29"
"Mind Quickening Gem",19339,Icevein,0,"2025-12-05 16:40:45"
"Mish'undare, Circlet of the Mind Flayer",19375,Etowa,0,"2025-12-05 19:17:48"
"Mish'undare, Circlet of the Mind Flayer",19375,Etowa,0,"2025-12-05 19:17:48"
"Mish'undare, Circlet of the Mind Flayer",19375,Soulchained,0,"2025-12-05 19:40:15"
"Neltharion's Tear",19379,Eldoren,0,"2025-12-05 12:12:16"
"Neltharion's Tear",19379,Eldoren,0,"2025-12-05 12:12:16"
"Neltharion's Tear",19379,Karathir,0,"2025-12-05 18:17:38"
"Neltharion's Tear",19379,Karathir,0,"2025-12-05 18:17:38"
"Neltharion's Tear",19379,Shadory,0,"2025-12-05 18:45:18"
"Neltharion's Tear",19379,Shadory,0,"2025-12-05 18:45:18"
"Netherwind Bindings",16918,Nibix,0,"2025-12-05 18:50:39"
"Netherwind Gloves",16913,Nibix,0,"2025-12-05 18:50:39"
"Netherwind Mantle",16917,Micahlion,0,"2025-12-05 14:28:39"
"Netherwind Robes",16916,Maniisk,0,"2025-12-05 12:03:59"
"Prestor's Talisman of Connivery",19377,Willythepimp,0,"2025-12-05 12:39:31"
"Pure Elementium Band",19382,Holdhur,0,"2025-12-05 17:09:05"
"Pure Elementium Band",19382,Manadar,0,"2025-12-05 19:30:53"
"Rejuvenating Gem",19395,Holychad,0,"2025-12-05 19:27:25"
"Rejuvenating Gem",19395,Holychad,0,"2025-12-05 19:27:25"
"Rejuvenating Gem",19395,Sixto,0,"2025-12-05 13:00:07"
"Rejuvenating Gem",19395,Sixto,0,"2025-12-05 13:00:07"
"Robes of Transcendence",16923,Holdhur,0,"2025-12-05 17:09:05"
"Shadow Wing Focus Staff",19355,Kristin,0,"2025-12-05 20:20:56"
"Staff of the Shadow Flame",19356,Icevein,0,"2025-12-05 16:40:45"
"Staff of the Shadow Flame",19356,Soulchained,0,"2025-12-05 19:40:15"
