Item,ItemId,Name,Class,Spec,Date
"Eye of C'Thun",21221,Kennor,Paladin,Retribution,"2025-07-13 16:41:14"
"Eyestalk Waist Cord",22730,Bullexd,Warlock,"DS Ruin","2025-07-13 17:18:28"
"Eyestalk Waist Cord",22730,Filbyter,Mage,Fire,"2025-07-13 19:24:49"
"Eyestalk Waist Cord",22730,Utzemekanism,Mage,Fire,"2025-07-13 19:27:11"
"Gauntlets of Annihilation",21581,Ashbringerr,Warrior,Fury,"2025-07-13 17:28:28"
"Gauntlets of Annihilation",21581,Ashbringerr,Warrior,Fury,"2025-07-13 17:28:28"
"Gauntlets of Annihilation",21581,Lillkungs,Warrior,Fury,"2025-07-13 18:10:27"
"Gauntlets of Annihilation",21581,Symm,Warrior,Protection,"2025-07-13 19:46:53"
"Gauntlets of Annihilation",21581,Symm,Warrior,Protection,"2025-07-13 19:46:53"
"Gauntlets of Steadfast Determination",21674,Deliciouss,Warrior,Protection,"2025-07-13 17:39:54"
"Gauntlets of Steadfast Determination",21674,Deliciouss,Warrior,Protection,"2025-07-13 17:39:54"
"Gloves of Enforcement",21672,Adya,Druid,Feral,"2025-07-13 19:18:07"
"Grasp of the Old God",21582,Gwilliam,Priest,Holy,"2025-07-13 16:54:38"
"Grasp of the Old God",21582,Maruan,Priest,Discipline,"2025-07-13 19:10:10"
"Grasp of the Old God",21582,Yulefuel,Priest,Discipline,"2025-07-13 19:03:05"
"Hive Defiler Wristguards",21618,Bruceli,Warrior,Fury,"2025-07-13 16:27:52"
"Hive Defiler Wristguards",21618,Kennor,Paladin,Retribution,"2025-07-13 16:41:14"
"Imperial Qiraji Regalia",21237,Adya,Druid,Feral,"2025-07-13 19:18:07"
"Imperial Qiraji Regalia",21237,Nandor,Warrior,Fury,"2025-07-13 19:09:11"
"Jom Gabbar",23570,Divine,Warrior,Protection,"2025-07-13 19:54:36"
"Jom Gabbar",23570,Lamagrà,Hunter,Marksmanship,"2025-07-13 17:49:37"
"Jom Gabbar",23570,Lamagrà,Hunter,Marksmanship,"2025-07-13 17:49:37"
"Jom Gabbar",23570,Littlebird,Hunter,Marksmanship,"2025-07-13 17:03:43"
"Jom Gabbar",23570,Littlebird,Hunter,Marksmanship,"2025-07-13 17:03:43"
"Larvae of the Great Worm",23557,Rannek,Rogue,Swords,"2025-07-13 19:21:23"
"Larvae of the Great Worm",23557,Rannek,Rogue,Swords,"2025-07-13 19:21:23"
"Legplates of Blazing Light",21667,Sixto,Paladin,Holy,"2025-07-13 16:57:26"
"Qiraji Bindings of Command",20928,Mf,Rogue,Daggers,"2025-07-13 19:47:54"
"Qiraji Bindings of Command",20928,Nandor,Warrior,Fury,"2025-07-13 19:09:11"
"Qiraji Bindings of Dominance",20932,Filbyter,Mage,Fire,"2025-07-13 19:24:49"
"Qiraji Bindings of Dominance",20932,Trollkarl,Mage,Fire,"2025-07-13 19:04:55"
"Qiraji Bindings of Dominance",20932,Utzemekanism,Mage,Fire,"2025-07-13 19:27:11"
"Qiraji Execution Bracers",21602,Shirley,Warrior,Protection,"2025-07-13 19:34:39"
"Ring of the Godslayer",21596,Frozenwarr,Warrior,Fury,"2025-07-13 19:39:33"
"Ring of the Martyr",21620,Datsik,Priest,Holy,"2025-07-13 19:04:55"
"Ring of the Martyr",21620,Dreschflegel,Paladin,Holy,"2025-07-13 19:02:08"
"Ring of the Martyr",21620,Sixto,Paladin,Holy,"2025-07-13 16:57:26"
"Ring of the Qiraji Fury",21677,Milshunter,Hunter,Marksmanship,"2025-07-13 18:50:50"
"Sartura's Might",21666,Yulefuel,Priest,Discipline,"2025-07-13 19:03:05"
"Scepter of the False Prophet",21839,Datsik,Priest,Holy,"2025-07-13 19:04:55"
"Scepter of the False Prophet",21839,Dreschflegel,Paladin,Holy,"2025-07-13 19:02:08"
"The Burrower's Shell",23558,Caesartje,Mage,Fire,"2025-07-13 19:06:51"
"Vek'nilash's Circlet",20926,Eweewew,Warrior,Fury,"2025-07-13 18:02:27"
"Vek'nilash's Circlet",20926,Trollkarl,Mage,Fire,"2025-07-13 19:04:55"
