Item,ItemId,Name,Plus,Date
"Leggings of Polarity",23070,Snotspat,0,"2025-10-15 19:31:12"
"Legplates of Carnage",23068,Mercury,0,"2025-10-15 11:09:11"
"Legplates of Carnage",23068,Tanky,0,"2025-10-15 08:19:17"
"Legplates of Carnage",23068,Zaiterlo,0,"2025-10-15 16:26:36"
"Libram of Light",23006,Amima,0,"2025-10-15 18:51:41"
"Misplaced Servo Arm",23221,Calion,0,"2025-10-15 17:14:43"
"Necklace of Necropsy",23036,Petro,0,"2025-10-15 16:26:56"
"Nerubian Slavemaker",22812,Lamagrà,0,"2025-10-15 18:08:00"
"Plated Abomination Ribcage",23000,Zimligimli,0,"2025-10-15 12:58:28"
"Rime Covered Mantle",22983,Caesartje,0,"2025-10-15 19:21:17"
"Sapphiron's Right Eye",23048,Mornie,0,"2025-10-14 23:53:21"
"The Castigator",22808,Boomer,0,"2025-10-15 18:20:23"
"The Castigator",22808,Farlopo,0,"2025-10-15 18:47:12"
"The Castigator",22808,Stridaren,0,"2025-10-15 19:31:25"
"The Castigator",22808,Tanky,0,"2025-10-15 08:19:17"
"The End of Dreams",22988,Highlordbane,0,"2025-10-15 18:12:21"
"The End of Dreams",22988,Highlordbane,0,"2025-10-15 18:12:21"
"The Eye of Nerub",23039,Mssingno,0,"2025-10-15 15:58:39"
"The Hungering Cold",23577,Olibanum,0,"2025-10-14 23:52:43"
"The Hungering Cold",23577,Shadowtelios,0,"2025-10-15 16:20:33"
"The Widow's Embrace",22942,Constant,0,"2025-10-15 19:50:57"
"The Widow's Embrace",22942,Maruan,0,"2025-10-15 19:35:17"
"Wand of the Whispering Dead",23009,Petro,0,"2025-10-15 16:26:56"
"Widow's Remorse",22806,Mercury,0,"2025-10-15 11:09:11"
"Wraith Blade",22807,Gangrecoeur,0,"2025-10-15 13:59:36"
"Wraith Blade",22807,Snotspat,0,"2025-10-15 19:31:12"
"Wraith Blade",22807,Utzemekanism,0,"2025-10-15 09:50:33"
